,omid,openalex_id,type
14090,meta:br/06160443776,W127121652 W3127960212,journal article
10729,meta:br/061202032370,W1271750964 W4230439705,book
7326,meta:br/06602313232,W12737305 W4252183332,book
8005,meta:br/06701334812,W127525426 W3191664299,journal article
14584,meta:br/06170441846,W1275538522 W44057512,journal article
1123,meta:br/062202366638,W12779353 W2431913751,journal article
13261,meta:br/061502578223,W1278557012 W3166700710,journal article
10999,meta:br/06120943775,W127866034 W3196127039,journal article
12440,meta:br/061402554016,W1278695333 W1582229467,journal article
8399,meta:br/06703465393,W128699361 W481634721,journal article
1075,meta:br/062202366517,W12911715 W3179151653,journal article
3084,meta:br/0610969691,W12930935 W1532677961,journal article
1980,meta:br/062302643772,W129487554 W345096071,journal article
2332,meta:br/062401201317,W129581730 W3157156318,journal article
8947,meta:br/06801764736,W129607733 W2406180047,journal article
13712,meta:br/061602041608,W129710324 W4295831986,journal article
15111,meta:br/06170832794,W129822955 W3126516177,journal article
12229,meta:br/061402553471,W130285408 W18623487,journal article
10572,meta:br/061201865562,W130294073 W1554681081,journal article
16040,meta:br/06180588836,W130437333 W2222383374,journal article
16977,meta:br/06201769282,W130508623 W2154696670,journal article
12431,meta:br/061402553609,W130546228 W2268272849,journal article
10437,meta:br/069067436,W130702428 W2809577364,book
15739,meta:br/061802197956,W130726848 W2336675583,journal article
12346,meta:br/061402553753,W13076262 W2388809150,journal article
1179,meta:br/062202366627,W130830780 W3206104001,journal article
14054,meta:br/06160443845,W131020378 W135213079,journal article
16148,meta:br/06180826238,W131144824 W3168716211,journal article
192,meta:br/06103202100,W13228696 W3190927823,journal article
12352,meta:br/061402553794,W132391645 W2416263730,journal article
7977,meta:br/06701334644,W132578012 W3165684632,journal article
8699,meta:br/06801342507,W133051954 W4302438971,journal article
11036,meta:br/06120944183,W133471866 W104517131,journal article
1104,meta:br/062202366639,W133636137 W3173044842,journal article
1083,meta:br/062202366769,W133872979 W3189672096,journal article
11069,meta:br/06120944168,W133873131 W1569446019,journal article
9651,meta:br/06803443296,W133982699 W4242187456,book chapter
15152,meta:br/06170832980,W134210603 W53705811,journal article
12369,meta:br/061402553556,W134443936 W3199643032,journal article
7718,meta:br/06602860488,W135158404 W1511740079,journal article
8959,meta:br/06801765156,W135414064 W2419288010,journal article
3118,meta:br/0610969814,W135761965 W4298373852,journal article
14048,meta:br/06160443565,W135997049 W1239646450,journal article
1604,meta:br/062301155847,W13602443 W2418554502,journal article
14101,meta:br/06160443660,W136039134 W39861415,journal article
17411,meta:br/06203304728,W136137940 W3188927459,journal article
249,meta:br/06103202259,W13615200 W3188264519,journal article
2935,meta:br/062501217949,W13630737 W1951425945,journal article
3161,meta:br/062501432175,W136312809 W173092350,journal article
15090,meta:br/06170832691,W13632930 W186717987,journal article
1901,meta:br/062302372764,W136400468 W4298376480,journal article
10557,meta:br/061201865588,W136607581 W2072337527,journal article
12472,meta:br/061402554151,W136629924 W3199940947,journal article
16931,meta:br/06201769428,W137383613 W3187263309,journal article
4130,meta:br/06260376529,W13750426 W2415001253,journal article
16150,meta:br/06180826276,W137693262 W4299871415,journal article
8402,meta:br/06703465231,W137799227 W3188984799,journal article
12409,meta:br/061402553654,W137899439 W205374189,journal article
5220,meta:br/06303308820,W137914921 W4301492668,journal article
1164,meta:br/062202366756,W13794037 W3189085182,journal article
8049,meta:br/06701335022,W138329365 W1488170427,journal article
12325,meta:br/061402553792,W138644667 W2201495581,journal article
1898,meta:br/062302372508,W138728566 W113330715,journal article
1155,meta:br/062202366544,W139455716 W3177991511,journal article
9888,meta:br/06901782489,W139624605 W1556585266,journal article
11013,meta:br/06120943908,W139636393 W3187157550,journal article
10541,meta:br/061201865563,W139662310 W2170876945,journal article
4052,meta:br/062602796173,W140554096 W2419442944,journal article
2897,meta:br/062501217782,W140681773 W3179171028,journal article
129,meta:br/06103201957,W1409138532 W56721938,journal article
15169,meta:br/06170832962,W140965077 W2000698320,journal article
16287,meta:br/061901689974,W1412231190 W3199684888,journal article
12905,meta:br/061501827596,W1412990944 W1603347267,journal article
12574,meta:br/061403317941,W1413378284 W2401244601,journal article
884,meta:br/062201709217,W141485379 W4249524841,book
15544,meta:br/061801688371,W141540621 W1260322970,journal article
16272,meta:br/061901689854,W141591470 W1844015938,journal article
13744,meta:br/061602091696,W1418266736 W4298370195,book
16346,meta:br/061901690197,W1419018459 W1544605972,journal article
16302,meta:br/061901689988,W1419030370 W226663851,journal article
14533,meta:br/06170351655,W142003285 W2324373038,journal article
3034,meta:br/0610969550,W142040097 W1903724146,journal article
8404,meta:br/06703465928,W1420414171 W248922014,journal article
3186,meta:br/062501432256,W142084093 W1527543970,journal article
106,meta:br/0620956854,W1420899430 W245723566,journal article
12524,meta:br/061403003975,W142103410 W100216437,journal article
9069,meta:br/06802179979,W1421327481 W2034055392,journal article
3101,meta:br/0610969815,W1421461084 W160070968,journal article
16980,meta:br/06201769458,W1422175515 W2411008625,journal article
12257,meta:br/061402553350,W1423768289 W54426149,journal article
1136,meta:br/062202366804,W1424534620 W189725923,journal article
2953,meta:br/062501218003,W1426122368 W181719969,journal article
7097,meta:br/06601097527,W1426214577 W1517253105,journal article
3466,meta:br/06250358905,W142739016 W2914593352,journal article
16916,meta:br/06201769640,W142769348 W1530301756,journal article
3906,meta:br/062602118666,W142931913 W2329167408,journal article
8052,meta:br/06701335024,W143106601 W2236885638,journal article
9459,meta:br/06802626465,W1433558568 W3104524318,book
17455,meta:br/06203304484,W143413419 W3180167798,journal article
8972,meta:br/06801765263,W143436539 W11055797,journal article
12418,meta:br/061402553524,W1434529313 W2416393531,journal article
102,meta:br/0620956890,W1435446765 W3193928790,journal article
6446,meta:br/0640928678,W1436449884 W592802739,journal article
6304,meta:br/064045079,W143781965 W4255820817,book
9655,meta:br/06803473714,W143800670 W2601129800,journal article
14079,meta:br/06160443742,W143843505 W3165917739,journal article
7665,meta:br/06602860413,W143991018 W80561161,journal article
16940,meta:br/06201769390,W14412969 W3190003834,journal article
13671,meta:br/061601832045,W1442162932 W2410972023,journal article
3020,meta:br/0610969751,W1442838936 W54975287,journal article
1101,meta:br/062202366629,W144513414 W1261407959,journal article
218,meta:br/06103202149,W1445343625 W1493108247,journal article
15538,meta:br/061801688473,W1445744051 W2060160881,journal article
10976,meta:br/06120943754,W144686299 W1710416811,journal article
1924,meta:br/062302372516,W144749604 W3157298978,journal article
9921,meta:br/06901782765,W144971197 W3189115335,journal article
7996,meta:br/06701334903,W145141240 W2067316551,journal article
14086,meta:br/06160443409,W14534277 W3171462300,journal article
1635,meta:br/062301156602,W1453817583 W3003274520,journal article
9763,meta:br/068054547,W145519385 W2418317881 W2406156845 W2414051825,journal
1077,meta:br/062202366550,W145543938 W3204343104,journal article
12526,meta:br/061403003985,W145756825 W185002562,journal article
16998,meta:br/06201769336,W1460603043 W2415949222,journal article
8059,meta:br/06701335055,W1461803191 W1563705331,journal article
2787,meta:br/06240686403,W1462656217 W2406924112,journal article
12253,meta:br/061402553909,W1462703876 W1593355318,journal article
16270,meta:br/061901689858,W1463311258 W3161430062,journal article
14052,meta:br/06160443476,W146362882 W45516991,journal article
12221,meta:br/061402553775,W1464355631 W219687222,journal article
7757,meta:br/06602860089,W146540622 W2399068547,journal article
157,meta:br/06103202178,W1465800916 W1506244879,journal article
3082,meta:br/0610969782,W1466546750 W10692356,journal article
3069,meta:br/0610969753,W146669751 W1854408963,journal article
7713,meta:br/06602860683,W1467319141 W164248620,journal article
1614,meta:br/062301156052,W1467479044 W77539410,journal article
15195,meta:br/06170832831,W146831423 W3191571727,journal article
15079,meta:br/06170832949,W146855019 W175128140,journal article
9890,meta:br/06901782781,W146979796 W1481805050,journal article
12900,meta:br/061501827552,W1470537550 W2409955818,journal article
1186,meta:br/062202366645,W147107787 W3217516814,journal article
7982,meta:br/06701334551,W147135698 W2410898995,journal article
242,meta:br/06103202109,W147141127 W3190443661,journal article
12871,meta:br/061501826814,W147317393 W1529956528,journal article
7709,meta:br/06602860542,W147461574 W1560998859,journal article
16366,meta:br/061901690465,W147483484 W3188084313,journal article
14594,meta:br/06170441400,W147602043 W1848893897,journal article
2986,meta:br/0610969628,W1478013534 W1509080089,journal article
9917,meta:br/06901782761,W1479712916 W1520369616,journal article
7984,meta:br/06701334851,W1479735719 W67768982,journal article
6234,meta:br/064045481,W1479774136 W3198026970,book
7602,meta:br/06602860675,W1480107880 W1547273934,journal article
17348,meta:br/06203102879,W1480108521 W4300554372,book
9959,meta:br/06901782584,W1480557005 W94908926,journal article
15161,meta:br/06170832924,W1480723518 W231747698,journal article
1086,meta:br/062202366755,W1480828887 W94493845,journal article
14588,meta:br/06170441484,W1480838182 W2089048729,journal article
11025,meta:br/06120943878,W148083824 W2436447047,journal article
16341,meta:br/061901690079,W1480880917 W261005306,journal article
17005,meta:br/06201769446,W1481128363 W2418192303,journal article
12319,meta:br/061402553980,W1481754362 W307447110,journal article
12469,meta:br/061402554077,W1481848106 W3191267321,journal article
11038,meta:br/06120944117,W1481890141 W177119561,journal article
12561,meta:br/061403317939,W1481939874 W1582233361,journal article
11304,meta:br/061302018888,W1481986099 W1973781712,journal article
5203,meta:br/06303308858,W1481990609 W1493591592,journal article
13812,meta:br/061602134631,W1482077204 W3021743909,book
15218,meta:br/06170833060,W1482145004 W195644605,journal article
219,meta:br/06103202278,W1482354607 W1605111458,journal article
16277,meta:br/061901689910,W1482583630 W203782605,journal article
15173,meta:br/06170832959,W1482740467 W150034240,journal article
1087,meta:br/062202366765,W1483276102 W141291954,journal article
14644,meta:br/06170441307,W1483335915 W3193220126,journal article
17085,meta:br/06202181996,W1483420051 W4213424355,book
12907,meta:br/061501827643,W1483666459 W1228513114,journal article
11421,meta:br/061302145477,W1484056500 W2069599897,journal article
10006,meta:br/06901783011,W1484085741 W3205133846,journal article
9930,meta:br/06901782658,W1484098304 W1484224118,journal article
12405,meta:br/061402553802,W1484114439 W980984,journal article
11031,meta:br/06120944227,W1484265060 W3182259250,journal article
16915,meta:br/06201769579,W1484277550 W3202644233,journal article
13810,meta:br/061602134707,W1484331152 W4300832153,book
14586,meta:br/06170441496,W1484347351 W1527949761,journal article
13150,meta:br/061502130829,W1484394561 W3147977643 W3142226323,journal article
13296,meta:br/061503017420,W1484454705 W2920716018,reference entry
4042,meta:br/062602796230,W148446906 W2418348334,journal article
12262,meta:br/061402553838,W1484474720 W2172931129,journal article
10264,meta:br/06902813314,W1484542486 W4239632537,book
4582,meta:br/06301811903,W1484806235 W2022536100,journal article
16330,meta:br/061901690137,W1485233788 W83412784,journal article
8043,meta:br/06701335125,W1485429294 W1806612516,journal article
7747,meta:br/06602860722,W1485829899 W1574546394,journal article
15364,meta:br/061801060563,W1485915457 W2007491033,journal article
12331,meta:br/061402553814,W1486087890 W40882192,journal article
14898,meta:br/0617046209,W1486183382 W4242178109 W4255662818,book
5244,meta:br/06303308868,W1486303340 W1496489420,journal article
13507,meta:br/061601537869,W1486429448 W4213431919,book
580,meta:br/062102619852,W1486562737 W4206541622,book
12432,meta:br/061402553905,W1486679552 W3190162980,journal article
1091,meta:br/062202366732,W148668580 W2151311314,journal article
11068,meta:br/06120944155,W1486843625 W1431946271,journal article
3837,meta:br/062602114016,W1486909428 W2170983358,journal article
12284,meta:br/061402553754,W1486979084 W3152429405,journal article
11645,meta:br/061303323871,W1486981831 W2945882399,journal article
224,meta:br/06103202086,W1486984522 W1486263581,journal article
4088,meta:br/061101428193,W1487099065 W142836859,journal article
3007,meta:br/0610969457,W1487204194 W3134687295,journal article
12308,meta:br/061402553927,W1487210879 W2038410385,journal article
6641,meta:br/06502041666,W1487239597 W4239550608,book chapter
12247,meta:br/061402553810,W1487286420 W1535254166,journal article
9615,meta:br/06802986956,W1487380784 W2766384742,journal article
7992,meta:br/06701334595,W148746552 W3191660076,journal article
16347,meta:br/061901690209,W1487496254 W1592564074,journal article
5701,meta:br/06401616765,W148753458 W4299787308,book
8041,meta:br/06701335194,W1487896705 W3163562560,journal article
10715,meta:br/061202017380,W1488120912 W2146914960,journal article
29,meta:br/060127,W1488302539 W4243579626,reference book
7864,meta:br/066047385,W1488587545 W4206570031,journal
9897,meta:br/06901782541,W1488674304 W204932797,journal article
16995,meta:br/06201769710,W1488741695 W3198763403,journal article
5217,meta:br/06303308825,W1488818021 W207283316,journal article
16827,meta:br/06201029198,W1488888852 W2170610731,journal article
3616,meta:br/062601314414,W1488997075 W4207078603,book
9616,meta:br/06802987049,W1489065766 W2768693763,journal article
5857,meta:br/06402244354,W1489163922 W4235087179,journal article
7487,meta:br/06602551502,W148916979 W2734888454,journal article
16294,meta:br/061901689811,W1489229274 W1506118177,journal article
2738,meta:br/06240560115,W1489267085 W4210244766,journal article
5113,meta:br/06302817989,W1489595469 W4234379191,book
12532,meta:br/061403004092,W1489748562 W2418778243,journal article
4098,meta:br/062602881590,W1489837055 W2669320257,journal article
1130,meta:br/062202366812,W1489944040 W1572942769,journal article
14618,meta:br/06170441452,W1490065724 W3192494230,journal article
15940,meta:br/06102483227,W1490129049 W2301245553,journal article
15112,meta:br/06170832708,W1490429841 W2346409637,journal article
2889,meta:br/062501217956,W1490555256 W201878958,journal article
4455,meta:br/06301401416,W1490585063 W2088069176,journal article
16925,meta:br/06201769641,W1490615205 W170861009,journal article
15284,meta:br/061801060445,W1490762350 W2122769971,journal article
15164,meta:br/06170832756,W1490920439 W3197652329,journal article
11786,meta:br/06130948343,W1491577190 W3195861908,journal article
12228,meta:br/061402553694,W1491578796 W149094804,journal article
15247,meta:br/061801060553,W1491629095 W2070115769,journal article
3077,meta:br/0610969487,W1491650904 W2409467575,journal article
9949,meta:br/06901782846,W1491662062 W3190840774,journal article
3892,meta:br/062602114233,W1492166996 W2141963606,journal article
14561,meta:br/06170441743,W1492228654 W3189381097,journal article
15184,meta:br/06170832799,W1492248509 W4307313,journal article
1810,meta:br/062301966354,W1492304753 W4244295823,journal article
3114,meta:br/0610969589,W1492370240 W116485380,journal article
2067,meta:br/062303240434,W1492490785 W4236291325,reference entry
8063,meta:br/06701335030,W1492575162 W228293905,journal article
3687,meta:br/062601750588,W1492671603 W4302804395,journal article
5344,meta:br/06303638993,W14931162 W190829892,book chapter
16975,meta:br/06201769743,W1493286351 W79597128,journal article
8768,meta:br/06801609865,W1493406435 W4205560150,book
7715,meta:br/06602860585,W1493983555 W1608165378,journal article
17093,meta:br/06202181429,W1494046733 W2045232484,journal article
12227,meta:br/061402553977,W1494050429 W130987762,journal article
6429,meta:br/064061968,W1494168946 W1852431653 W1584501104 W2142571817 W2341446746 W1602932193 W2212050859 W2255479302 W1481933889 W1592163718 W2191263527 W1590684743 W1589016192 W2193591282 W1534791745 W1606391403 W151...,journal
4658,meta:br/06301812258,W1494256765 W2003486052,journal article
12333,meta:br/061402553990,W1494266739 W1601440021,journal article
12246,meta:br/061402553956,W1494289947 W4300294066,journal article
17,meta:br/060130,W1494484061 W2500610474,reference book
7654,meta:br/06602860540,W1494594188 W1616784537,journal article
5002,meta:br/061101734421,W1494666451 W4301360155,journal article
3241,meta:br/062501828642,W1494869925 W4241171134,book
14557,meta:br/06170441319,W1495228474 W3193093459,journal article
17420,meta:br/06203304501,W149603120 W3196229729,journal article
12533,meta:br/061403004077,W149612069 W3189579349,journal article
17379,meta:br/06203304679,W1496268115 W3190525442,journal article
622,meta:br/062102769391,W1496314760 W4253376411,book
12563,meta:br/061403317836,W1496413700 W307767051,journal article
326,meta:br/062101522551,W1496461393 W4207026187,book
16227,meta:br/061901291382,W1496490416 W4254526107,journal article
16362,meta:br/061901690311,W14967680 W3189661735,journal article
8713,meta:br/06801342216,W1496913870 W3168161261,journal article
17451,meta:br/06203304712,W1496935347 W3148870975,journal article
15132,meta:br/06170832885,W149695263 W153627488,journal article
12349,meta:br/061402553895,W1497254199 W1956350296,journal article
3162,meta:br/062501432336,W1497573773 W2413343497,journal article
12392,meta:br/061402553734,W1497607714 W3212586016,journal article
11805,meta:br/06130949134,W1497677224 W2913082111,journal article
1187,meta:br/062202366759,W1497775396 W47534865,journal article
12485,meta:br/061402554062,W1497796578 W1247553610,journal article
8398,meta:br/06703465952,W1497918966 W2395244420,journal article
12344,meta:br/061402553939,W1498111024 W117233719,journal article
10689,meta:br/061202017374,W1498243748 W2134663291,journal article
4730,meta:br/06301812244,W1498284704 W2082758653,journal article
16275,meta:br/061901689935,W1498520780 W3188103269,journal article
5370,meta:br/06303732565,W1498728711 W205608754,journal article
17452,meta:br/06203304541,W1498857891 W3195532493,journal article
14605,meta:br/06170441508,W1498913677 W1511264860,journal article
3037,meta:br/0610969752,W1499338777 W1559574289,journal article
4873,meta:br/06302319687,W1499390155 W3006052020,book
9987,meta:br/06901782570,W1499401754 W1540856791,journal article
12396,meta:br/061402553994,W1499510831 W1576246222,journal article
3809,meta:br/062602113989,W1499643850 W2085186103,journal article
8053,meta:br/06701335057,W1499835404 W1590274278,journal article
14595,meta:br/06170441455,W1499844489 W1486716822,journal article
8,meta:br/06097,W1499893176 W4241242198,reference book
